metric,value
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.0001,0.362669
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.001,0.279952
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.01,0.199738
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.1,0.107498
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-05,0.468473
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-06,0.752910
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.0001,90.350536
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.001,94.109056
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.01,96.348588
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.1,98.227848
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-05,82.814021
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-06,36.105161
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.0001,0.361218
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.001,0.277583
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.01,0.198308
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.1,0.106221
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_1e-05,0.470324
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_1e-06,0.767040
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.0001,91.032132
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.001,94.294060
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.01,96.387537
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.1,98.286271
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_1e-05,83.680623
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_1e-06,35.589094
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.0001,0.358941
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.001,0.277323
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.01,0.198902
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.1,0.106221
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_1e-05,0.466906
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_1e-06,0.767150
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.0001,91.217137
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.001,94.362220
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.01,96.426485
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.1,98.257059
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-05,84.138267
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-06,35.764362
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.0001,0.361213
