metric,value
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.0001,0.297666
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.001,0.225637
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.01,0.159967
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.1,0.085943
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-05,0.414318
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-06,0.686471
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.0001,91.207400
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.001,94.410906
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.01,96.747809
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.1,98.266796
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-05,82.629017
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-06,40.165531
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.0001,0.292041
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.001,0.222625
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.01,0.158610
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.1,0.084899
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_1e-05,0.408992
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_1e-06,0.716753
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.0001,91.879260
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.001,94.615385
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.01,96.718598
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.1,98.237585
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_1e-05,84.196689
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_1e-06,37.293087
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.0001,0.290323
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.001,0.222190
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.01,0.158510
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.1,0.086259
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_1e-05,0.400307
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_1e-06,0.716752
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.0001,91.947420
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.001,94.654333
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.01,96.767283
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.1,98.247322
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-05,84.956183
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-06,37.400195
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.0001,0.294215
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.001,0.224673
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.01,0.160202
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.1,0.086393
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-05,0.382972
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-06,0.490251
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.0001,93.265838
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.001,95.755995
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.01,97.479163
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.1,98.706346
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-05,88.034975
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-06,76.775579
ijb.IJBC_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.0001,0.286800
ijb.IJBC_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.001,0.220734
ijb.IJBC_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.01,0.158503
ijb.IJBC_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.1,0.085683
ijb.IJBC_gt_aligned.Norm:True_Det:False_thresh_at_fpr_1e-05,0.366360
