metric,value
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.0001,0.296872
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.001,0.225618
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.01,0.160838
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.1,0.087689
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-05,0.411798
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-06,0.703565
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.0001,91.071081
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.001,94.479065
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.01,96.601753
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.1,98.325219
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-05,82.239533
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-06,35.598832
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.0001,0.293612
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.001,0.223464
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.01,0.159880
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.1,0.085940
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_1e-05,0.414979
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_1e-06,0.711914
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.0001,91.616358
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.001,94.625122
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.01,96.708861
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.1,98.305745
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_1e-05,82.872444
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_1e-06,37.088608
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.0001,0.292044
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.001,0.222640
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.01,0.159247
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.1,0.085593
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_1e-05,0.409194
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_1e-06,0.712261
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.0001,91.742941
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.001,94.683544
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.01,96.777020
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.1,98.305745
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-05,83.651412
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-06,37.147030
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.0001,0.291504
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.001,0.224404
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.01,0.160838
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.1,0.086980
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-05,0.368559
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-06,0.477769
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.0001,93.127780
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.001,95.740656
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.01,97.356445
ijb.IJBC_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.1,98.767705
