metric,value
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.0001,0.298331
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.001,0.224629
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.01,0.159966
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.1,0.086075
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-05,0.429411
ijb.IJBB_gt_aligned.Norm:False_Det:True_thresh_at_fpr_1e-06,0.711680
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.0001,90.886076
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.001,94.527751
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.01,96.621227
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_0.1,98.344693
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-05,80.438169
ijb.IJBB_gt_aligned.Norm:False_Det:True_tpr_at_fpr_1e-06,34.381694
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.0001,0.293202
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.001,0.222150
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.01,0.158861
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_0.1,0.085867
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_1e-05,0.422009
ijb.IJBB_gt_aligned.Norm:True_Det:False_thresh_at_fpr_1e-06,0.722171
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.0001,91.450828
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.001,94.722493
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.01,96.689387
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_0.1,98.354430
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_1e-05,82.609542
ijb.IJBB_gt_aligned.Norm:True_Det:False_tpr_at_fpr_1e-06,35.511198
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.0001,0.290505
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.001,0.221304
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.01,0.158360
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_0.1,0.085816
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_1e-05,0.410999
ijb.IJBB_gt_aligned.Norm:True_Det:True_thresh_at_fpr_1e-06,0.722206
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.0001,91.665044
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.001,94.761441
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.01,96.699124
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.1,98.364167
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-05,83.758520
ijb.IJBB_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-06,35.637780
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.0001,0.293882
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.001,0.224044
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.01,0.160030
ijb.IJBC_gt_aligned.Norm:False_Det:True_thresh_at_fpr_0.1,0.086256
