Training: 2025-12-11 21:57:15,474-rank_id: 0
Training: 2025-12-11 21:57:19,981-Total Step is: 394238
Training: 2025-12-11 21:57:19,981-Steps per epoch: 15163, eval every 4 epochs => eval_step=60652
Training: 2025-12-11 21:58:31,312-Reducer buckets have been rebuilt in this iteration.
Training: 2025-12-11 21:58:31,608-Reducer buckets have been rebuilt in this iteration.
Training: 2025-12-11 21:59:05,876-Speed 1107.44 samples/sec   Loss 38.6749 target_logit_mean 0.0107 lma 0.2851  cos_theta_tmp 0.0814 geom_penalty 0.4326 geom_weighted 0.0028 Epoch: 0   Global Step: 100   Required: 55 hours
Training: 2025-12-11 21:59:23,254-Speed 1104.93 samples/sec   Loss 34.7952 target_logit_mean 0.0139 lma 0.3463  cos_theta_tmp 0.1229 geom_penalty 0.5160 geom_weighted 0.0051 Epoch: 0   Global Step: 150   Required: 50 hours
Training: 2025-12-11 21:59:40,640-Speed 1104.39 samples/sec   Loss 32.7877 target_logit_mean 0.0156 lma 0.3713  cos_theta_tmp 0.1569 geom_penalty 0.5148 geom_weighted 0.0068 Epoch: 0   Global Step: 200   Required: 47 hours
Training: 2025-12-11 21:59:58,028-Speed 1104.27 samples/sec   Loss 31.2134 target_logit_mean 0.0169 lma 0.4261  cos_theta_tmp 0.1825 geom_penalty 0.5722 geom_weighted 0.0094 Epoch: 0   Global Step: 250   Required: 45 hours
Training: 2025-12-11 22:00:15,416-Speed 1104.28 samples/sec   Loss 29.9972 target_logit_mean 0.0179 lma 0.4671  cos_theta_tmp 0.2003 geom_penalty 0.5988 geom_weighted 0.0118 Epoch: 0   Global Step: 300   Required: 44 hours
Training: 2025-12-11 22:00:32,813-Speed 1103.67 samples/sec   Loss 28.8395 target_logit_mean 0.0198 lma 0.5194  cos_theta_tmp 0.2243 geom_penalty 0.6494 geom_weighted 0.0149 Epoch: 0   Global Step: 350   Required: 43 hours
Training: 2025-12-11 22:00:50,209-Speed 1103.77 samples/sec   Loss 27.8841 target_logit_mean 0.0190 lma 0.5252  cos_theta_tmp 0.2435 geom_penalty 0.6091 geom_weighted 0.0160 Epoch: 0   Global Step: 400   Required: 42 hours
Training: 2025-12-11 22:01:07,614-Speed 1103.17 samples/sec   Loss 26.9821 target_logit_mean 0.0221 lma 0.5476  cos_theta_tmp 0.2609 geom_penalty 0.6202 geom_weighted 0.0184 Epoch: 0   Global Step: 450   Required: 42 hours
Training: 2025-12-11 22:01:25,013-Speed 1103.58 samples/sec   Loss 26.1808 target_logit_mean 0.0230 lma 0.5569  cos_theta_tmp 0.2821 geom_penalty 0.6086 geom_weighted 0.0200 Epoch: 0   Global Step: 500   Required: 42 hours
Training: 2025-12-11 22:01:42,410-Speed 1103.65 samples/sec   Loss 25.4944 target_logit_mean 0.0199 lma 0.5386  cos_theta_tmp 0.2944 geom_penalty 0.5448 geom_weighted 0.0197 Epoch: 0   Global Step: 550   Required: 41 hours
Training: 2025-12-11 22:01:59,805-Speed 1103.81 samples/sec   Loss 24.8640 target_logit_mean 0.0259 lma 0.5856  cos_theta_tmp 0.2970 geom_penalty 0.6223 geom_weighted 0.0246 Epoch: 0   Global Step: 600   Required: 41 hours
Training: 2025-12-11 22:02:17,204-Speed 1103.57 samples/sec   Loss 24.1754 target_logit_mean 0.0261 lma 0.5900  cos_theta_tmp 0.3178 geom_penalty 0.5874 geom_weighted 0.0251 Epoch: 0   Global Step: 650   Required: 41 hours
Training: 2025-12-11 22:02:34,603-Speed 1103.58 samples/sec   Loss 23.5912 target_logit_mean 0.0283 lma 0.6010  cos_theta_tmp 0.3333 geom_penalty 0.5999 geom_weighted 0.0277 Epoch: 0   Global Step: 700   Required: 40 hours
Training: 2025-12-11 22:02:51,997-Speed 1103.89 samples/sec   Loss 23.0291 target_logit_mean 0.0282 lma 0.6020  cos_theta_tmp 0.3397 geom_penalty 0.5669 geom_weighted 0.0280 Epoch: 0   Global Step: 750   Required: 40 hours
Training: 2025-12-11 22:03:09,387-Speed 1104.13 samples/sec   Loss 22.5481 target_logit_mean 0.0312 lma 0.5902  cos_theta_tmp 0.3461 geom_penalty 0.5333 geom_weighted 0.0281 Epoch: 0   Global Step: 800   Required: 40 hours
Training: 2025-12-11 22:03:26,780-Speed 1103.93 samples/sec   Loss 22.0469 target_logit_mean 0.0307 lma 0.5980  cos_theta_tmp 0.3673 geom_penalty 0.5113 geom_weighted 0.0286 Epoch: 0   Global Step: 850   Required: 40 hours
Training: 2025-12-11 22:03:44,170-Speed 1104.15 samples/sec   Loss 21.5205 target_logit_mean 0.0310 lma 0.6190  cos_theta_tmp 0.3683 geom_penalty 0.5488 geom_weighted 0.0325 Epoch: 0   Global Step: 900   Required: 40 hours
Training: 2025-12-11 22:04:01,590-Speed 1102.23 samples/sec   Loss 21.0978 target_logit_mean 0.0304 lma 0.6141  cos_theta_tmp 0.3826 geom_penalty 0.5010 geom_weighted 0.0314 Epoch: 0   Global Step: 950   Required: 40 hours
Training: 2025-12-11 22:04:18,990-Speed 1103.52 samples/sec   Loss 20.7068 target_logit_mean 0.0316 lma 0.6055  cos_theta_tmp 0.3836 geom_penalty 0.4789 geom_weighted 0.0316 Epoch: 0   Global Step: 1000   Required: 40 hours
Training: 2025-12-11 22:04:36,386-Speed 1103.73 samples/sec   Loss 20.2855 target_logit_mean 0.0340 lma 0.6175  cos_theta_tmp 0.4019 geom_penalty 0.4664 geom_weighted 0.0323 Epoch: 0   Global Step: 1050   Required: 40 hours
Training: 2025-12-11 22:04:53,780-Speed 1103.85 samples/sec   Loss 19.9489 target_logit_mean 0.0354 lma 0.6376  cos_theta_tmp 0.4075 geom_penalty 0.5159 geom_weighted 0.0374 Epoch: 0   Global Step: 1100   Required: 40 hours
Training: 2025-12-11 22:05:11,174-Speed 1103.88 samples/sec   Loss 19.5503 target_logit_mean 0.0355 lma 0.6231  cos_theta_tmp 0.4092 geom_penalty 0.4669 geom_weighted 0.0354 Epoch: 0   Global Step: 1150   Required: 39 hours
Training: 2025-12-11 22:05:28,582-Speed 1103.03 samples/sec   Loss 19.2442 target_logit_mean 0.0379 lma 0.6347  cos_theta_tmp 0.4177 geom_penalty 0.4864 geom_weighted 0.0385 Epoch: 0   Global Step: 1200   Required: 39 hours
Training: 2025-12-11 22:05:45,976-Speed 1103.84 samples/sec   Loss 18.9376 target_logit_mean 0.0352 lma 0.6204  cos_theta_tmp 0.4283 geom_penalty 0.4289 geom_weighted 0.0353 Epoch: 0   Global Step: 1250   Required: 39 hours
Training: 2025-12-11 22:06:03,371-Speed 1103.82 samples/sec   Loss 18.6685 target_logit_mean 0.0353 lma 0.6180  cos_theta_tmp 0.4214 geom_penalty 0.4336 geom_weighted 0.0371 Epoch: 0   Global Step: 1300   Required: 39 hours
Training: 2025-12-11 22:06:20,765-Speed 1103.89 samples/sec   Loss 18.3124 target_logit_mean 0.0363 lma 0.6190  cos_theta_tmp 0.4432 geom_penalty 0.4204 geom_weighted 0.0374 Epoch: 0   Global Step: 1350   Required: 39 hours
Training: 2025-12-11 22:06:38,160-Speed 1103.82 samples/sec   Loss 18.0281 target_logit_mean 0.0401 lma 0.6294  cos_theta_tmp 0.4359 geom_penalty 0.4451 geom_weighted 0.0411 Epoch: 0   Global Step: 1400   Required: 39 hours
Training: 2025-12-11 22:06:55,557-Speed 1103.66 samples/sec   Loss 17.8103 target_logit_mean 0.0407 lma 0.6455  cos_theta_tmp 0.4486 geom_penalty 0.4390 geom_weighted 0.0420 Epoch: 0   Global Step: 1450   Required: 39 hours
Training: 2025-12-11 22:07:12,948-Speed 1104.11 samples/sec   Loss 17.4965 target_logit_mean 0.0416 lma 0.6312  cos_theta_tmp 0.4480 geom_penalty 0.4090 geom_weighted 0.0404 Epoch: 0   Global Step: 1500   Required: 39 hours
Training: 2025-12-11 22:07:30,343-Speed 1103.79 samples/sec   Loss 17.2794 target_logit_mean 0.0445 lma 0.6483  cos_theta_tmp 0.4525 geom_penalty 0.4346 geom_weighted 0.0444 Epoch: 0   Global Step: 1550   Required: 39 hours
Training: 2025-12-11 22:07:47,744-Speed 1103.47 samples/sec   Loss 17.0878 target_logit_mean 0.0394 lma 0.6188  cos_theta_tmp 0.4582 geom_penalty 0.3790 geom_weighted 0.0400 Epoch: 0   Global Step: 1600   Required: 39 hours
Training: 2025-12-11 22:08:05,137-Speed 1103.92 samples/sec   Loss 16.8446 target_logit_mean 0.0444 lma 0.6491  cos_theta_tmp 0.4602 geom_penalty 0.4160 geom_weighted 0.0452 Epoch: 0   Global Step: 1650   Required: 39 hours
