Training: 2025-11-30 20:06:15,001-rank_id: 0
Training: 2025-11-30 20:07:29,687-rank_id: 0
Training: 2025-11-30 20:08:10,300-Total Step is: 394238
Training: 2025-11-30 20:08:10,300-Steps per epoch: 15163, eval every 4 epochs => eval_step=60652
Training: 2025-11-30 20:11:15,326-rank_id: 0
Training: 2025-11-30 20:11:19,826-Total Step is: 394238
Training: 2025-11-30 20:11:19,826-Steps per epoch: 15163, eval every 4 epochs => eval_step=60652
Training: 2025-11-30 20:15:43,446-rank_id: 0
Training: 2025-11-30 20:15:47,962-Total Step is: 394238
Training: 2025-11-30 20:15:47,962-Steps per epoch: 15163, eval every 4 epochs => eval_step=60652
Training: 2025-11-30 20:18:34,958-[IJB][IJBB_gt_aligned] {'Norm:True_Det:True_tpr_at_fpr_1e-06': 0.4868549172346641, 'Norm:True_Det:True_thresh_at_fpr_1e-06': 0.9889598366078083, 'Norm:True_Det:True_tpr_at_fpr_1e-05': 0.8860759493670887, 'Norm:True_Det:True_thresh_at_fpr_1e-05': 0.986447468413859, 'Norm:True_Det:True_tpr_at_fpr_0.0001': 1.8208373904576434, 'Norm:True_Det:True_thresh_at_fpr_0.0001': 0.9815472514989444, 'Norm:True_Det:True_tpr_at_fpr_0.001': 4.371957156767283, 'Norm:True_Det:True_thresh_at_fpr_0.001': 0.9745632804414803, 'Norm:True_Det:True_tpr_at_fpr_0.01': 12.239532619279455, 'Norm:True_Det:True_thresh_at_fpr_0.01': 0.9621445934841554, 'Norm:True_Det:True_tpr_at_fpr_0.1': 36.28042843232716, 'Norm:True_Det:True_thresh_at_fpr_0.1': 0.9322201617690422, 'Norm:True_Det:False_tpr_at_fpr_1e-06': 0.3894839337877313, 'Norm:True_Det:False_thresh_at_fpr_1e-06': 0.9894596824603032, 'Norm:True_Det:False_tpr_at_fpr_1e-05': 0.8179162609542356, 'Norm:True_Det:False_thresh_at_fpr_1e-05': 0.9865710982142826, 'Norm:True_Det:False_tpr_at_fpr_0.0001': 1.7429406037000974, 'Norm:True_Det:False_thresh_at_fpr_0.0001': 0.9816861142812441, 'Norm:True_Det:False_tpr_at_fpr_0.001': 4.177215189873418, 'Norm:True_Det:False_thresh_at_fpr_0.001': 0.9748905856021465, 'Norm:True_Det:False_tpr_at_fpr_0.01': 12.035053554040896, 'Norm:True_Det:False_thresh_at_fpr_0.01': 0.9624955959182642, 'Norm:True_Det:False_tpr_at_fpr_0.1': 36.075949367088604, 'Norm:True_Det:False_thresh_at_fpr_0.1': 0.9327003059791068, 'Norm:False_Det:True_tpr_at_fpr_1e-06': 0.5160662122687439, 'Norm:False_Det:True_thresh_at_fpr_1e-06': 0.9884315035031062, 'Norm:False_Det:True_tpr_at_fpr_1e-05': 0.9347614410905549, 'Norm:False_Det:True_thresh_at_fpr_1e-05': 0.9859381439889208, 'Norm:False_Det:True_tpr_at_fpr_0.0001': 1.8500486854917235, 'Norm:False_Det:True_thresh_at_fpr_0.0001': 0.9812045687604697, 'Norm:False_Det:True_tpr_at_fpr_0.001': 4.469328140214216, 'Norm:False_Det:True_thresh_at_fpr_0.001': 0.9742107226931458, 'Norm:False_Det:True_tpr_at_fpr_0.01': 12.590068159688414, 'Norm:False_Det:True_thresh_at_fpr_0.01': 0.9617897114884904, 'Norm:False_Det:True_tpr_at_fpr_0.1': 36.397273612463486, 'Norm:False_Det:True_thresh_at_fpr_0.1': 0.9322214020434256}
